Marker_1,Marker_2,r_BPH,r_PCA,Delta_r,Reversal,z_diff,p_value
19b-3p,21-5p,0.6054624766846114,0.7915137146512572,0.1860512379666458,False,1.1196367215046041,0.26286860045772453
19b-3p,mir-375-3p,0.33998358130143297,0.21336397070900898,-0.126619610592424,False,-0.4115549873555937,0.6806656298499985
21-5p,mir-375-3p,0.42038337526620273,0.2644985706396695,-0.15588480462653326,False,-0.5308972432456424,0.595489988220979
